"id_person_unique","id_fam1968","employed","emp_2023","sex","age_2021","emp_2021","educ_yrs_2021","days_unemp_2021","flourish_2021","soc_anxiety_2021","fam_expend_2021","female","emp_2021_working","log_fam_expend_2021","age_2023","food_ranout_2023","food_notlast_2023"
"2611_181",2611,1,1,1,21,1,12,0,14,1,102896,0,1,11.5414837668782,22,NA,NA
"2611_183",2611,0,3,2,16,7,10,NA,NA,NA,102896,1,0,11.5414837668782,18,NA,NA
"2611_189",2611,1,1,2,21,1,14,0,12,2,48858.77,1,1,10.7967096374736,23,NA,NA
"2614_37",2614,1,1,1,19,1,12,0,12,5,109900,0,1,11.6073352395314,21,NA,NA
"2614_38",2614,1,1,1,16,1,11,NA,NA,NA,109900,0,1,11.6073352395314,18,NA,NA
"2615_50",2615,1,1,1,24,1,16,0,15,3,72608.01,0,1,11.1928442977957,26,NA,NA
"2615_53",2615,1,1,2,20,7,16,0,13,2,59110,1,0,10.9871723112865,22,NA,NA
"2615_55",2615,1,2,2,19,3,10,0,12,4,50421.68,1,0,10.8281963528398,21,NA,NA
"2615_56",2615,1,1,2,18,7,12,0,10,3,81040,1,0,11.3027104784318,20,2,3
"2615_57",2615,1,1,2,19,7,13,NA,NA,NA,74639.78,1,0,11.2204422856274,22,3,3
"2618_34",2618,1,2,2,26,1,17,0,11,3,76216,1,1,11.2413398139051,28,NA,NA
"2618_36",2618,1,1,1,25,1,12,0,16,3,56216,0,1,10.9369744812438,27,NA,NA
"2618_37",2618,1,1,1,24,1,16,0,13,2,35894.14,0,1,10.4883571892676,26,NA,NA
"2618_39",2618,1,1,1,23,1,14,0,9,1,66546,0,1,11.1056637439191,25,NA,NA
"2618_40",2618,1,1,1,20,1,11,0,12,2,75108,0,1,11.226695670785,22,3,3
"2618_41",2618,1,1,2,19,1,15,0,15,2,83464.71,1,1,11.3321911678129,21,NA,NA
"2618_42",2618,1,1,2,20,1,15,0,10,5,50689.18,1,1,10.8334874824563,21,NA,NA
"2618_44",2618,1,1,2,15,7,NA,NA,NA,NA,197315.65,1,0,12.1925650777051,18,3,3
"2618_45",2618,1,1,2,17,1,13,0,16,4,88911.13,1,1,11.3954038576385,20,NA,NA
"2621_34",2621,1,1,2,24,3,13,0,8,5,38564,1,0,10.5601004083681,26,NA,NA
"2621_36",2621,1,1,1,21,1,12,0,12,4,24550,0,1,10.1085078655906,23,NA,NA
"2621_37",2621,1,1,2,19,6,12,NA,NA,NA,84594,1,0,11.3456304421929,21,3,3
